step: 351 | loss: 7.5258 | tok/sec: 1549.7
step: 352 | loss: 6.2337 | tok/sec: 1073.5
step: 353 | loss: 7.1880 | tok/sec: 1214.5
step: 354 | loss: 7.9382 | tok/sec: 1537.4
step: 355 | loss: 6.8132 | tok/sec: 1420.4
step: 356 | loss: 7.5697 | tok/sec: 1078.4
step: 357 | loss: 7.5531 | tok/sec: 1271.4
step: 358 | loss: 7.1711 | tok/sec: 1625.7
step: 359 | loss: 6.2072 | tok/sec: 1624.4
step: 360 | loss: 7.9997 | tok/sec: 1121.3
step: 361 | loss: 7.0926 | tok/sec: 1279.1
step: 362 | loss: 7.3468 | tok/sec: 1588.3
step: 363 | loss: 7.9956 | tok/sec: 1621.5
step: 364 | loss: 6.6581 | tok/sec: 1112.2
step: 365 | loss: 7.3574 | tok/sec: 1283.7
step: 366 | loss: 7.7474 | tok/sec: 1616.2
step: 367 | loss: 8.3043 | tok/sec: 1618.6
step: 368 | loss: 7.4121 | tok/sec: 1103.2
step: 369 | loss: 6.8411 | tok/sec: 1257.7
step: 370 | loss: 7.3509 | tok/sec: 1623.7
step: 371 | loss: 7.4257 | tok/sec: 1622.3
step: 372 | loss: 7.8262 | tok/sec: 1025.1
step: 373 | loss: 6.2240 | tok/sec: 1268.9
step: 374 | loss: 7.7952 | tok/sec: 1610.8
step: 375 | loss: 7.3729 | tok/sec: 1610.0
step: 376 | loss: 7.4876 | tok/sec: 1109.2
step: 377 | loss: 7.2805 | tok/sec: 1259.3
step: 378 | loss: 7.1056 | tok/sec: 1620.6
step: 379 | loss: 6.9592 | tok/sec: 1541.0
step: 380 | loss: 6.5549 | tok/sec: 1068.3
step: 381 | loss: 6.9560 | tok/sec: 1279.6
step: 382 | loss: 7.3924 | tok/sec: 1471.9
step: 383 | loss: 6.7248 | tok/sec: 1513.2
step: 384 | loss: 6.5661 | tok/sec: 1032.7
step: 385 | loss: 6.3074 | tok/sec: 1200.6
step: 386 | loss: 6.4573 | tok/sec: 1619.8
step: 387 | loss: 7.1979 | tok/sec: 1617.5
step: 388 | loss: 7.7659 | tok/sec: 1106.0
step: 389 | loss: 7.1046 | tok/sec: 1269.4
step: 390 | loss: 8.0260 | tok/sec: 1628.3
step: 391 | loss: 7.7298 | tok/sec: 1490.9
step: 392 | loss: 6.2864 | tok/sec: 1112.7
step: 393 | loss: 5.9274 | tok/sec: 1275.1
step: 394 | loss: 7.0308 | tok/sec: 1616.0
step: 395 | loss: 6.9190 | tok/sec: 1614.9
step: 396 | loss: 7.7195 | tok/sec: 1115.5
step: 397 | loss: 7.3800 | tok/sec: 1272.5
step: 398 | loss: 7.5576 | tok/sec: 1617.7
step: 399 | loss: 6.8006 | tok/sec: 1615.4
step: 400 | loss: 6.6250 | tok/sec: 1106.7
step: 401 | loss: 7.3719 | tok/sec: 1258.6
step: 402 | loss: 6.7928 | tok/sec: 1536.6
step: 403 | loss: 6.6562 | tok/sec: 1539.6
step: 404 | loss: 6.8507 | tok/sec: 1074.2
step: 405 | loss: 7.2736 | tok/sec: 1277.3
step: 406 | loss: 6.3988 | tok/sec: 1621.1
step: 407 | loss: 7.2690 | tok/sec: 1621.7
step: 408 | loss: 5.9428 | tok/sec: 1103.5
step: 409 | loss: 7.7160 | tok/sec: 1279.4
step: 410 | loss: 7.4000 | tok/sec: 1622.4
step: 411 | loss: 7.0524 | tok/sec: 1622.0
step: 412 | loss: 7.6654 | tok/sec: 1110.5
step: 413 | loss: 7.2211 | tok/sec: 1154.2
step: 414 | loss: 7.1423 | tok/sec: 1538.7
step: 415 | loss: 6.8488 | tok/sec: 1541.4
step: 416 | loss: 7.0569 | tok/sec: 1073.4
step: 417 | loss: 6.8924 | tok/sec: 1193.6
step: 418 | loss: 6.6886 | tok/sec: 1502.6
step: 419 | loss: 7.4836 | tok/sec: 1456.3
step: 420 | loss: 6.5650 | tok/sec: 1044.3
step: 421 | loss: 7.0905 | tok/sec: 1276.9
step: 422 | loss: 7.5886 | tok/sec: 1581.8
step: 423 | loss: 6.1276 | tok/sec: 1556.6
step: 424 | loss: 6.6947 | tok/sec: 1082.7
step: 425 | loss: 7.8796 | tok/sec: 1277.7
step: 426 | loss: 7.4669 | tok/sec: 1623.5
step: 427 | loss: 5.9438 | tok/sec: 1464.9
step: 428 | loss: 7.3202 | tok/sec: 1116.3
step: 429 | loss: 7.1957 | tok/sec: 1262.3
step: 430 | loss: 7.4079 | tok/sec: 1549.7
step: 431 | loss: 7.5037 | tok/sec: 1546.6
step: 432 | loss: 6.0353 | tok/sec: 1085.5
step: 433 | loss: 7.2603 | tok/sec: 1272.6
step: 434 | loss: 7.0320 | tok/sec: 1617.6
step: 435 | loss: 4.9981 | tok/sec: 1616.5
step: 436 | loss: 6.0631 | tok/sec: 1105.9
step: 437 | loss: 7.5396 | tok/sec: 1281.6
step: 438 | loss: 7.3279 | tok/sec: 1617.9
step: 439 | loss: 6.7005 | tok/sec: 1613.3
step: 440 | loss: 6.7918 | tok/sec: 1110.7
step: 441 | loss: 6.6350 | tok/sec: 1257.7
step: 442 | loss: 7.6605 | tok/sec: 1611.1
step: 443 | loss: 7.6230 | tok/sec: 1609.2
step: 444 | loss: 6.9204 | tok/sec: 1093.7
step: 445 | loss: 6.9680 | tok/sec: 1278.5
step: 446 | loss: 7.3008 | tok/sec: 1616.3
step: 447 | loss: 7.4379 | tok/sec: 1620.4
step: 448 | loss: 6.8620 | tok/sec: 1107.5
step: 449 | loss: 7.6578 | tok/sec: 1277.0
step: 450 | loss: 6.5132 | tok/sec: 1614.7
step: 451 | loss: 7.0242 | tok/sec: 1611.8
step: 452 | loss: 7.0161 | tok/sec: 1023.2
step: 453 | loss: 6.3204 | tok/sec: 1181.0
step: 454 | loss: 7.5743 | tok/sec: 1457.3
step: 455 | loss: 7.1337 | tok/sec: 1472.4
step: 456 | loss: 7.0455 | tok/sec: 1106.2
step: 457 | loss: 6.8070 | tok/sec: 1282.1
step: 458 | loss: 6.8633 | tok/sec: 1515.5
step: 459 | loss: 7.5123 | tok/sec: 1625.8
step: 460 | loss: 6.4131 | tok/sec: 1112.3
step: 461 | loss: 6.2655 | tok/sec: 1266.5
step: 462 | loss: 6.2306 | tok/sec: 1536.9
step: 463 | loss: 6.5742 | tok/sec: 1419.4
step: 464 | loss: 7.3099 | tok/sec: 1072.1
step: 465 | loss: 8.0610 | tok/sec: 1273.1
step: 466 | loss: 6.8466 | tok/sec: 1620.1
step: 467 | loss: 5.9831 | tok/sec: 1621.0
step: 468 | loss: 6.4400 | tok/sec: 1105.2
step: 469 | loss: 7.1905 | tok/sec: 1244.7
step: 470 | loss: 6.7442 | tok/sec: 1557.7
step: 471 | loss: 6.9995 | tok/sec: 1555.5
step: 472 | loss: 6.8325 | tok/sec: 1075.1
step: 473 | loss: 6.4781 | tok/sec: 1277.9
step: 474 | loss: 7.0103 | tok/sec: 1611.0
step: 475 | loss: 6.7934 | tok/sec: 1612.0
step: 476 | loss: 7.8948 | tok/sec: 1112.0
step: 477 | loss: 6.9697 | tok/sec: 1239.7
step: 478 | loss: 6.8511 | tok/sec: 1549.6
step: 479 | loss: 7.1024 | tok/sec: 1547.8
step: 480 | loss: 6.8948 | tok/sec: 1073.4
step: 481 | loss: 7.5244 | tok/sec: 1262.1
step: 482 | loss: 6.9950 | tok/sec: 1532.0
step: 483 | loss: 7.5034 | tok/sec: 1534.0
step: 484 | loss: 6.3606 | tok/sec: 1065.9
step: 485 | loss: 7.0100 | tok/sec: 1284.7
step: 486 | loss: 6.2842 | tok/sec: 1612.1
step: 487 | loss: 6.5487 | tok/sec: 1466.9
step: 488 | loss: 7.4195 | tok/sec: 691.2,
step: 489 | loss: 7.2153 | tok/sec: 1139.3
step: 490 | loss: 7.2953 | tok/sec: 1420.8
step: 491 | loss: 7.2317 | tok/sec: 1538.8
step: 492 | loss: 7.2610 | tok/sec: 1068.9
step: 493 | loss: 6.7879 | tok/sec: 1232.4
step: 494 | loss: 7.1192 | tok/sec: 1533.3
step: 495 | loss: 7.3219 | tok/sec: 1526.6
step: 496 | loss: 6.4060 | tok/sec: 1064.3
step: 497 | loss: 7.1016 | tok/sec: 1283.4
step: 498 | loss: 7.1660 | tok/sec: 1590.5
step: 499 | loss: 7.1055 | tok/sec: 1590.9
step: 500 | loss: 7.2681 | tok/sec: 1095.6
step: 501 | loss: 7.9722 | tok/sec: 1205.9
step: 502 | loss: 6.6681 | tok/sec: 1614.8
step: 503 | loss: 7.1583 | tok/sec: 1613.0
step: 504 | loss: 6.4180 | tok/sec: 1107.1
