step: 384 | loss: 5.4471 | toks/s: 5516.9
step: 385 | loss: 4.9657 | toks/s: 5604.2
step: 386 | loss: 4.9239 | toks/s: 5573.5
step: 387 | loss: 5.3877 | toks/s: 5604.5
step: 388 | loss: 5.2590 | toks/s: 5638.4
step: 389 | loss: 5.3983 | toks/s: 5542.0
step: 390 | loss: 4.6242 | toks/s: 5586.3
step: 391 | loss: 4.7738 | toks/s: 5619.5
step: 392 | loss: 5.1522 | toks/s: 5584.7
step: 393 | loss: 5.2333 | toks/s: 5566.2
step: 394 | loss: 5.5647 | toks/s: 5600.8
step: 395 | loss: 4.9480 | toks/s: 5595.2
step: 396 | loss: 5.1285 | toks/s: 5557.0
step: 397 | loss: 5.2241 | toks/s: 5586.5
step: 398 | loss: 5.0605 | toks/s: 5593.8
step: 399 | loss: 4.8426 | toks/s: 5575.4
step: 400 | loss: 5.1109 | toks/s: 5635.1
step: 401 | loss: 5.3426 | toks/s: 5182.2
step: 402 | loss: 5.4488 | toks/s: 5166.8
step: 403 | loss: 4.4174 | toks/s: 5131.6
step: 404 | loss: 5.0237 | toks/s: 5163.6
step: 405 | loss: 5.4433 | toks/s: 5171.6
step: 406 | loss: 5.1687 | toks/s: 5621.4
step: 407 | loss: 5.0169 | toks/s: 5574.5
step: 408 | loss: 4.9039 | toks/s: 5639.8
step: 409 | loss: 5.1867 | toks/s: 5598.5
step: 410 | loss: 5.1595 | toks/s: 5343.9
step: 411 | loss: 5.4883 | toks/s: 5607.9
step: 412 | loss: 5.1324 | toks/s: 5647.7
step: 413 | loss: 4.8279 | toks/s: 5625.2
step: 414 | loss: 5.1412 | toks/s: 5632.1
step: 415 | loss: 5.2426 | toks/s: 5594.9
step: 416 | loss: 5.1530 | toks/s: 5567.7
step: 417 | loss: 5.4621 | toks/s: 5577.2
step: 418 | loss: 5.0268 | toks/s: 5618.6
step: 419 | loss: 4.9305 | toks/s: 5667.9
step: 420 | loss: 5.1509 | toks/s: 5364.6
step: 421 | loss: 5.0320 | toks/s: 5622.7
step: 422 | loss: 4.8895 | toks/s: 5595.2
step: 423 | loss: 5.3278 | toks/s: 5627.0
step: 424 | loss: 5.1165 | toks/s: 5550.3
step: 425 | loss: 5.2205 | toks/s: 5527.1
step: 426 | loss: 5.3051 | toks/s: 5602.6
step: 427 | loss: 5.4683 | toks/s: 5597.8
step: 428 | loss: 5.5651 | toks/s: 5581.7
step: 429 | loss: 5.2469 | toks/s: 5630.1
step: 430 | loss: 5.2250 | toks/s: 5599.3
step: 431 | loss: 4.7378 | toks/s: 5560.4
step: 432 | loss: 4.8481 | toks/s: 5615.8
step: 433 | loss: 4.9356 | toks/s: 5602.1
step: 434 | loss: 5.3670 | toks/s: 5610.2
step: 435 | loss: 5.4377 | toks/s: 5609.3
step: 436 | loss: 5.0554 | toks/s: 5583.2
step: 437 | loss: 4.8410 | toks/s: 5580.2
step: 438 | loss: 5.1392 | toks/s: 5596.5
step: 439 | loss: 4.8204 | toks/s: 5562.2
step: 440 | loss: 4.8699 | toks/s: 5620.2
step: 441 | loss: 5.1407 | toks/s: 5603.9
step: 442 | loss: 3.8448 | toks/s: 5565.8
step: 443 | loss: 5.4672 | toks/s: 5591.6
step: 444 | loss: 5.0364 | toks/s: 5624.4
step: 445 | loss: 4.2188 | toks/s: 5630.2
step: 446 | loss: 5.2449 | toks/s: 5613.0
step: 447 | loss: 5.1110 | toks/s: 5577.3
step: 448 | loss: 5.2900 | toks/s: 5661.7
step: 449 | loss: 4.9235 | toks/s: 5596.1
step: 450 | loss: 4.7664 | toks/s: 5576.0
step: 451 | loss: 4.6746 | toks/s: 5681.1
step: 452 | loss: 5.3391 | toks/s: 5640.8
step: 453 | loss: 5.1418 | toks/s: 5640.6
step: 454 | loss: 4.7047 | toks/s: 5608.4
step: 455 | loss: 5.4221 | toks/s: 5644.6
step: 456 | loss: 5.3213 | toks/s: 5610.6
step: 457 | loss: 4.7109 | toks/s: 5642.9
step: 458 | loss: 5.3496 | toks/s: 5624.1
step: 459 | loss: 5.2140 | toks/s: 5590.5
step: 460 | loss: 4.9452 | toks/s: 5595.3
step: 461 | loss: 4.9641 | toks/s: 5616.6
step: 462 | loss: 5.0276 | toks/s: 5635.7
step: 463 | loss: 5.1398 | toks/s: 5677.1
step: 464 | loss: 4.4610 | toks/s: 5616.3
step: 465 | loss: 4.4050 | toks/s: 5657.8
step: 466 | loss: 5.1642 | toks/s: 5660.1
step: 467 | loss: 4.9600 | toks/s: 5625.4
step: 468 | loss: 4.8452 | toks/s: 5608.8
step: 469 | loss: 5.2697 | toks/s: 5579.5
step: 470 | loss: 5.4747 | toks/s: 5597.4
step: 471 | loss: 5.0861 | toks/s: 5596.6
step: 472 | loss: 4.6437 | toks/s: 5638.1
step: 473 | loss: 5.1648 | toks/s: 5610.0
step: 474 | loss: 5.0637 | toks/s: 5629.2
step: 475 | loss: 4.6532 | toks/s: 5612.9
step: 476 | loss: 5.2191 | toks/s: 5572.8
step: 477 | loss: 5.3421 | toks/s: 5572.5
step: 478 | loss: 4.7774 | toks/s: 5545.7
step: 479 | loss: 4.4808 | toks/s: 5650.2
step: 480 | loss: 5.1643 | toks/s: 5623.6
step: 481 | loss: 5.0257 | toks/s: 5595.1
step: 482 | loss: 4.6456 | toks/s: 5616.1
step: 483 | loss: 4.9135 | toks/s: 5601.1
step: 484 | loss: 5.0421 | toks/s: 5628.1
step: 485 | loss: 4.9647 | toks/s: 5626.3
step: 486 | loss: 5.3690 | toks/s: 5596.0
step: 487 | loss: 5.2650 | toks/s: 5664.3
step: 488 | loss: 4.9289 | toks/s: 5621.5
step: 489 | loss: 5.4221 | toks/s: 5627.6
step: 490 | loss: 4.9992 | toks/s: 5646.5
step: 491 | loss: 5.2643 | toks/s: 5618.3
step: 492 | loss: 4.9475 | toks/s: 5637.2
step: 493 | loss: 4.7248 | toks/s: 5601.7
step: 494 | loss: 4.8231 | toks/s: 5657.2
step: 495 | loss: 4.7247 | toks/s: 5640.3
step: 496 | loss: 5.0309 | toks/s: 5094.2
step: 497 | loss: 5.2475 | toks/s: 5577.7
step: 498 | loss: 5.3154 | toks/s: 5326.6
step: 499 | loss: 4.8168 | toks/s: 5616.6
step: 500 | loss: 4.9837 | toks/s: 5275.0
step: 501 | loss: 4.9668 | toks/s: 5607.8
step: 502 | loss: 4.9275 | toks/s: 5569.3
step: 503 | loss: 4.7641 | toks/s: 5576.1
step: 504 | loss: 5.0421 | toks/s: 5637.7
step: 505 | loss: 4.9024 | toks/s: 5648.4
step: 506 | loss: 5.4159 | toks/s: 5606.4
step: 507 | loss: 4.5131 | toks/s: 5646.7
step: 508 | loss: 5.1881 | toks/s: 5624.4
step: 509 | loss: 4.7363 | toks/s: 5630.3
step: 510 | loss: 4.9441 | toks/s: 5622.1
step: 511 | loss: 5.0983 | toks/s: 5610.1
step: 512 | loss: 4.6840 | toks/s: 5647.6
step: 513 | loss: 5.0872 | toks/s: 5631.8
step: 514 | loss: 5.0573 | toks/s: 5605.2
step: 515 | loss: 5.4925 | toks/s: 5631.6
step: 516 | loss: 4.6440 | toks/s: 5660.9
step: 517 | loss: 4.8706 | toks/s: 5686.8
step: 518 | loss: 5.1914 | toks/s: 5633.1
step: 519 | loss: 5.0296 | toks/s: 5625.0
